file1 file2 flip heuristic runtime closed open
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_1 34 31 22080 600843 4174759
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 23 23 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 37 35 2602 70327 796782
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 23 23 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 27 27 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 21 20 11 1628 17945
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 39 39 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 27 27 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 32 31 94 2945 30437
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 29 29 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 27 26 58 2177 20202
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 21 21 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 22 22 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 36 33 4752 126466 1315698
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 30 27 504 15863 183830
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 28 27 156 5136 63906
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 19 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 27 26 31 1138 14200
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 35 33 3603 103750 957664
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 21 21 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 20 20 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 25 24 84 2314 37202
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 32 31 3930 109071 1152320
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 28 28 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 31 30 971 31494 334379
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 18 18 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 24 24 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 21 21 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 28 27 92 2928 42473
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 27 27 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 27 26 180 5290 75353
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 23 23 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 23 21 220 7180 92113
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 19 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 26 26 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 26 26 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 17 17 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 32 32 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 19 19 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 20 20 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 23 23 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 20 20 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 21 21 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 27 27 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 16 16 0 -1 1
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 24 23 38 4557 63239
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 20 20 0 -1 1
