file1 file2 flip runtime
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_1 -37 300005 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_10 -36 300006 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_11 -36 300001 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_12 -29 300000 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_13 -30 300001 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_14 -33 300001 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_15 32 239688 32
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_16 -29 300000 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_17 -36 300002 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_18 -28 300005 -30
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_19 -34 300002 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_2 -29 300023 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_3 -26 300000 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_4 -32 300017 -2147483648
../data/random_experiments_paper/n_25/set_0/triangulation/t_0 ../data/random_experiments_paper/n_25/set_0/triangulation/t_5 -27 300002 -2147483648
