file1 file2 flip heuristic runtime closed open
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_1 32 31 13357 368644 5618306
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_10 36 35 10392 337831 4546225
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_11 24 22 1928 74500 1220961
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_12 38 36 203483 5172583 51884006
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_13 24 22 375 25779 380128
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_14 22 21 46 1195 20859
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_15 35 35 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_16 34 33 1569 39750 757094
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_17 34 34 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_18 36 35 4168 97211 1412856
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_19 34 32 63028 1798161 23480499
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_2 29 28 4439 160723 2544929
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_3 30 30 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_4 32 29 85250 1880176 20289711
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_5 32 30 2774 64236 995114
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_6 39 37 192983 3095863 38248734
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_7 27 26 431 29107 465579
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_8 31 31 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_0 ../data/random_experiments_paper/n_25/set_3/triangulation/t_9 29 29 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_1 ../data/random_experiments_paper/n_25/set_3/triangulation/t_10 26 26 0 -1 1
../data/random_experiments_paper/n_25/set_3/triangulation/t_1 ../data/random_experiments_paper/n_25/set_3/triangulation/t_11 31 29 3802 96520 1389407
