file1 file2 flip runtime primal_bound
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_1 -37 300019 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_10 -27 300001 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_11 -45 300023 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_12 -39 300008 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_13 -45 300020 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_14 -41 300007 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_15 -44 300017 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_16 -46 300009 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_17 -41 300043 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_18 -44 300016 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_19 -34 300020 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_2 -39 300016 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_3 -46 300030 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_4 0 300000 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_5 0 300010 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_6 -43 300112 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_7 -44 300011 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_8 -38 300007 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_9 -44 300007 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_10 -40 300019 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_11 -48 300026 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_12 -37 300003 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_13 -45 300014 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_14 -43 300015 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_15 -44 300004 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_16 -42 300014 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_17 33 270537 33
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_18 39 209273 39
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_19 -34 300003 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_2 -47 300014 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_3 -43 300018 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_4 -44 300005 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_5 -33 300002 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_6 -35 300002 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_7 -31 300002 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_8 -47 300024 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_1 ../data/random_experiments_paper/n_30/set_0/triangulation/t_9 -42 300015 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_11 -34 300001 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_12 -39 300020 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_13 -41 300011 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_14 -35 300000 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_15 -35 300000 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_16 -40 300004 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_17 -39 300017 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_18 -40 300011 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_19 -38 300019 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_2 -36 300001 -2147483648
../data/random_experiments_paper/n_30/set_0/triangulation/t_10 ../data/random_experiments_paper/n_30/set_0/triangulation/t_3 -40 300017 -2147483648
