file1 file2 flip heuristic runtime closed open
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_1 -43 41 300000 4743466 92024640
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_10 28 27 5822 207366 4410609
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_11 -49 49 300000 5065018 110191296
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_12 -44 44 300000 4744639 102561755
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_13 -49 49 300000 2961687 59667526
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_14 -46 45 300000 3521172 79775423
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_15 52 51 281746 2604687 56244056
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_16 48 47 102266 1065189 23460342
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_17 -47 47 300000 2681484 49310777
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_18 -50 49 300000 3899765 85237114
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_19 -42 39 300000 3141561 55632186
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_2 -43 43 300000 5846221 97948194
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_3 -52 52 300000 4151196 80737960
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_4 -60 59 300000 2495407 55935051
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_5 -55 54 300000 3111003 62992936
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_6 -47 46 300000 6775806 135100509
../data/random_experiments_paper/n_30/set_0/triangulation/t_0 ../data/random_experiments_paper/n_30/set_0/triangulation/t_7 -52 50 300000 3086298 59564221
