file1 file2 simple eppstein hanke 
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_1 37 45 47
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_10 38 45 49
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_11 41 49 55
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_12 41 51 56
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_13 40 49 54
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_14 36 39 42
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_15 50 58 65
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_16 40 45 50
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_17 39 42 42
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_18 43 49 50
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_19 39 43 43
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_2 35 36 37
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_3 38 41 41
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_4 41 49 54
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_5 39 43 46
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_6 35 39 41
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_7 34 36 38
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_8 48 56 65
../data/random_experiments_paper/n_30/set_3/triangulation/t_0 ../data/random_experiments_paper/n_30/set_3/triangulation/t_9 45 55 59
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_10 39 42 43
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_11 36 39 40
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_12 42 47 49
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_13 38 44 47
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_14 38 41 41
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_15 41 48 52
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_16 41 46 46
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_17 44 48 48
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_18 41 47 49
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_19 35 38 39
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_2 46 52 55
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_3 38 41 41
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_4 42 45 52
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_5 37 40 43
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_6 40 43 43
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_7 37 39 40
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_8 49 55 62
../data/random_experiments_paper/n_30/set_3/triangulation/t_1 ../data/random_experiments_paper/n_30/set_3/triangulation/t_9 40 46 51
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_11 41 44 44
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_12 38 40 43
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_13 41 44 44
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_14 40 44 48
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_15 42 44 47
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_16 40 43 44
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_17 39 43 44
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_18 39 44 48
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_19 40 45 48
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_2 37 42 45
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_3 33 36 37
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_4 37 41 44
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_5 36 40 42
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_6 36 39 39
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_7 38 40 41
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_8 45 48 50
../data/random_experiments_paper/n_30/set_3/triangulation/t_10 ../data/random_experiments_paper/n_30/set_3/triangulation/t_9 42 46 50
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_12 38 39 39
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_13 39 41 42
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_14 37 40 42
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_15 39 42 45
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_16 33 35 39
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_17 41 44 46
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_18 32 34 35
../data/random_experiments_paper/n_30/set_3/triangulation/t_11 ../data/random_experiments_paper/n_30/set_3/triangulation/t_19 39 41 43
