file1 file2 flip runtime used_hanke
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_1 108 6.716000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_2 88 6.756000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_3 99 6.704000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_0 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_4 100 6.658000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_2 102 6.678000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_3 88 6.751000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_1 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_4 87 6.913000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_3 103 6.701000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_2 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_4 102 6.636000 0
../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_3 ../data/random_hod_experiments_paper/n_200_2/set_8/triangulation/t_4 97 6.691000 0
