file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 41 39 21420 412578 6695852
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 34 30 57831 1358840 14610451
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_1_100 29 29 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_2_100 37 37 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_3_100 33 31 33519 586951 7795109
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_4_100 38 37 8047 131757 2030086
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_5_100 -52 52 300000 4474679 66674300
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_6_100 48 47 118393 1999608 28850438
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_7_100 -48 48 300000 4799579 87161221
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_8_100 38 35 100264 2525186 27072610
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_9_100 -40 38 300000 5330253 63373816
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_10_100 35 32 103238 3307903 32862895
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_11_100 22 22 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_12_100 41 41 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_1_100 32 31 11728 221091 3468883
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_2_100 26 26 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_3_100 36 36 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_4_100 29 29 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_5_100 34 34 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_6_100 46 45 170144 3259265 53334077
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_7_100 28 28 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_8_100 -47 47 300000 4205235 59778993
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_9_100 28 27 3055 102963 1556271
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 38 35 53387 1958809 31728244
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_1_100 47 46 157519 2596050 48170131
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_2_100 -39 36 300000 5884749 92221674
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_3_100 -44 43 308801 6163165 95310569
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_4_100 28 28 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_5_100 -44 42 300000 6113562 88730013
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_6_100 20 20 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_7_100 -51 51 300000 4730491 94395754
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_8_100 37 37 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_9_100 35 34 3285 62651 1239190
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_10_100 39 39 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_11_100 33 33 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_12_100 27 27 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_1_100 37 36 23155 290945 5682322
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_2_100 39 39 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_3_100 39 37 79275 1844747 30619618
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_4_100 -42 40 300000 6228886 116855442
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_5_100 31 29 24845 933556 14882420
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_6_100 28 27 4726 166324 3092145
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_7_100 38 36 64154 1801662 28514536
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_8_100 35 34 3829 92106 1734704
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_9_100 34 32 24293 607325 12332599
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_1_100 38 36 55009 1071584 16251067
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_2_100 -37 35 300000 8260933 108247272
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_3_100 -38 37 300000 8244511 115920698
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_4_100 28 27 124 2379 52846
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_5_100 -46 45 300000 4081899 68940058
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_6_100 -47 46 300000 6271223 94066932
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_7_100 -47 46 306727 6011743 95461990
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_8_100 26 26 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_9_100 39 38 27561 419649 8480307
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_10_100 38 37 16506 347349 6413801
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_11_100 34 32 31284 1048589 15741596
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_12_100 -38 36 300000 9942618 136780231
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_1_100 -35 32 300000 7694759 101003804
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_2_100 31 30 2174 49542 921580
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_3_100 36 33 74430 1451466 21649811
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_4_100 33 32 470 28569 593475
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_5_100 37 37 1 37 1055
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_6_100 40 39 255927 5660931 97248314
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_7_100 -40 38 300000 6846734 88605598
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_8_100 48 48 0 -1 1
../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2009_12_100 ../data/sealevel_experiments_paper/s_30/s_30_100/triangulation/t_2010_9_100 33 33 0 -1 1
