file1 file2 flip runtime used_hanke  
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_11_2 15 0.673000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_12_2 9 0.581000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_1_2 12 0.566000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_2_2 8 0.567000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_3_2 11 0.561000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_4_2 7 0.552000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_5_2 11 0.563000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_6_2 14 0.584000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_7_2 13 0.564000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_8_2 12 0.565000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_9_2 9 0.575000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2010_10_2 13 0.558000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2010_11_2 5 0.553000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2010_12_2 9 0.558000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2010_1_2 13 0.554000 0
../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2009_10_2 ../data/sealevel_experiments_paper/s_35/s_35_2/triangulation/t_2010_2_2 7 0.551000 0
