file1 file2 simple eppstein hanke
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_11_5 32 32 34
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 23 23 23
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 21 21 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 29 29 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 24 24 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 21 21 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 28 28 28
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 30 30 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 30 30 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 24 24 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 24 24 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 28 28 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_11_5 23 23 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_12_5 18 18 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_1_5 24 24 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_10_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_2_5 20 20 21
